                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.4156,                0.71658,                 1.0887,                0.83406,                 0.5682,                0.64544,                0.34905,                  1.359,                0.61789,                 1.1019,               0.007525,               0.007525,               0.007525
                     77,                 1.4163,                 0.7172,                 1.0824,                0.83358,                0.56892,                0.64599,                0.34944,                 1.3586,                 0.6177,                 1.1017,               0.007492,               0.007492,               0.007492
                     78,                 1.4214,                  0.719,                 1.0846,                0.83526,                0.56844,                0.64625,                0.34974,                 1.3584,                0.61728,                 1.1017,               0.007459,               0.007459,               0.007459
                     79,                  1.413,                0.71467,                 1.0857,                0.83348,                0.56946,                0.64647,                0.34978,                 1.3578,                0.61696,                 1.1013,               0.007426,               0.007426,               0.007426
                     80,                 1.4102,                0.71274,                 1.0813,                0.83556,                  0.569,                0.64689,                0.35012,                 1.3575,                0.61654,                 1.1011,               0.007393,               0.007393,               0.007393
                     81,                 1.4199,                 0.7165,                 1.0841,                 0.8351,                  0.569,                0.64691,                0.35036,                 1.3575,                0.61636,                  1.101,                0.00736,                0.00736,                0.00736
                     82,                 1.4087,                0.70986,                 1.0834,                0.83643,                0.56839,                0.64702,                0.35052,                 1.3572,                0.61588,                 1.1006,               0.007327,               0.007327,               0.007327
                     83,                 1.4126,                0.71301,                 1.0801,                0.83591,                0.56892,                0.64691,                0.35052,                 1.3571,                0.61541,                 1.1004,               0.007294,               0.007294,               0.007294
                     84,                 1.4067,                0.70398,                  1.081,                 0.8347,                0.56979,                0.64735,                0.35059,                 1.3565,                0.61479,                 1.1002,               0.007261,               0.007261,               0.007261
                     85,                 1.4117,                0.71279,                 1.0838,                0.83433,                0.56991,                0.64709,                0.35077,                  1.356,                0.61441,                    1.1,               0.007228,               0.007228,               0.007228
                     86,                 1.4091,                0.71141,                 1.0808,                0.83477,                0.57001,                0.64727,                0.35098,                 1.3558,                0.61412,                 1.0999,               0.007195,               0.007195,               0.007195
                     87,                 1.4136,                0.71287,                 1.0831,                0.83534,                0.57026,                0.64747,                0.35104,                 1.3556,                0.61384,                 1.0997,               0.007162,               0.007162,               0.007162
                     88,                 1.4073,                0.71053,                 1.0817,                0.83436,                0.57119,                0.64764,                0.35104,                 1.3554,                0.61369,                 1.0996,               0.007129,               0.007129,               0.007129
                     89,                 1.4098,                0.70819,                 1.0786,                0.83418,                0.57173,                0.64799,                0.35118,                 1.3553,                0.61317,                 1.0996,               0.007096,               0.007096,               0.007096
                     90,                 1.4021,                0.70415,                 1.0758,                0.83441,                0.57144,                0.64807,                0.35125,                 1.3552,                0.61278,                 1.0994,               0.007063,               0.007063,               0.007063
                     91,                 1.4094,                0.70584,                 1.0762,                0.83581,                0.57122,                0.64823,                0.35132,                 1.3553,                0.61259,                 1.0994,                0.00703,                0.00703,                0.00703
                     92,                 1.4105,                0.70634,                 1.0825,                0.83523,                0.57135,                0.64833,                0.35133,                 1.3553,                0.61214,                 1.0993,               0.006997,               0.006997,               0.006997
                     93,                 1.4038,                0.70556,                 1.0802,                0.83501,                0.57142,                0.64832,                 0.3516,                 1.3551,                0.61192,                 1.0991,               0.006964,               0.006964,               0.006964
                     94,                 1.4092,                0.70673,                 1.0758,                0.83541,                0.57139,                0.64853,                 0.3516,                 1.3553,                 0.6118,                 1.0989,               0.006931,               0.006931,               0.006931
                     95,                 1.3981,                0.70266,                 1.0745,                 0.8351,                0.57171,                0.64849,                0.35166,                 1.3552,                0.61162,                 1.0987,               0.006898,               0.006898,               0.006898
                     96,                 1.4014,                0.70438,                 1.0794,                0.83503,                0.57172,                0.64862,                0.35191,                 1.3548,                0.61145,                 1.0985,               0.006865,               0.006865,               0.006865
                     97,                 1.4061,                0.70542,                 1.0753,                 0.8351,                 0.5716,                0.64865,                  0.352,                 1.3547,                0.61137,                 1.0983,               0.006832,               0.006832,               0.006832
                     98,                 1.3986,                0.69928,                 1.0731,                0.83348,                0.57227,                0.64895,                0.35217,                 1.3547,                0.61108,                 1.0981,               0.006799,               0.006799,               0.006799
                     99,                 1.4105,                0.70804,                 1.0762,                0.83294,                0.57275,                0.64905,                0.35221,                 1.3548,                0.61089,                 1.0979,               0.006766,               0.006766,               0.006766
                    100,                 1.3977,                0.69917,                 1.0723,                0.83328,                0.57288,                0.64907,                0.35234,                 1.3546,                0.61042,                 1.0977,               0.006733,               0.006733,               0.006733
                    101,                 1.4036,                0.69957,                  1.074,                0.83331,                0.57269,                0.64926,                0.35233,                 1.3546,                0.61027,                 1.0977,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4029,                0.70274,                 1.0732,                0.83351,                0.57288,                 0.6494,                0.35245,                 1.3548,                0.61013,                 1.0976,               0.006667,               0.006667,               0.006667
